name,year_release,order,imdb_rating
Star Wars Episode I – The Phantom Menace,1999,1,6.5
Star Wars Episode II – Attack of the Clones,2002,2,6.5
Star Wars Episode III – Revenge of the Sith,2005,3,7.5
Star Wars - Rogue One,2016,4,7.8
Solo: A Star Wars Story,2018,5,6.9
Star Wars Episode IV – A New Hope,1977,6,8.6
Star Wars Episode V – The Empire Strikes Back,1980,7,8.7
Star Wars Episode VI – Return of the Jedi,1983,8,8.3
Star Wars Episode VII – The Force Awakens,2015,9,7.9

Star Wars Episode VIII – The Last Jedi,2017,10,7.0
Star Wars Episode IX – The Rise of Skywalker,2019,11,6.7